"iter","env1_muon - train/loss","env1_muon - train/loss__MIN","env1_muon - train/loss__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - train/loss","env1_lion - train/loss__MIN","env1_lion - train/loss__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - train/loss","env1_adam - train/loss__MIN","env1_adam - train/loss__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - train/loss"," env1_sgd - train/loss__MIN"," env1_sgd - train/loss__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - train/loss","env1_adamw - train/loss__MIN","env1_adamw - train/loss__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"4750","","","","","","","","","","","","","","","","","","","","","","","","","4.293248176574707","4.293248176574707","4.293248176574707","4700","4700","4700"
"5000","4.22135066986084","4.22135066986084","4.22135066986084","109","109","109","4.15206241607666","4.15206241607666","4.15206241607666","109","109","109","4.43160343170166","4.43160343170166","4.43160343170166","109","109","109","6.422503471374512","6.422503471374512","6.422503471374512","109","109","109","4.21892786026001","4.21892786026001","4.21892786026001","4995","4995","4995"
"5250","","","","","","","","","","","","","","","","","","","","","","","","","4.223284721374512","4.223284721374512","4.223284721374512","5245","5245","5245"
"5500","4.238223075866699","4.238223075866699","4.238223075866699","173","173","173","4.465541362762451","4.465541362762451","4.465541362762451","173","173","173","4.483503818511963","4.483503818511963","4.483503818511963","173","173","173","6.406121730804443","6.406121730804443","6.406121730804443","173","173","173","4.199540615081787","4.199540615081787","4.199540615081787","5450","5450","5450"
"5750","","","","","","","","","","","","","","","","","","","","","","","","","4.155217170715332","4.155217170715332","4.155217170715332","5700","5700","5700"
"6000","4.16277551651001","4.16277551651001","4.16277551651001","183","183","183","4.391644477844238","4.391644477844238","4.391644477844238","183","183","183","4.352799415588379","4.352799415588379","4.352799415588379","183","183","183","6.324038028717041","6.324038028717041","6.324038028717041","183","183","183","4.121943950653076","4.121943950653076","4.121943950653076","5950","5950","5950"
"6250","","","","","","","","","","","","","","","","","","","","","","","","","4.079387187957764","4.079387187957764","4.079387187957764","6200","6200","6200"
"6500","4.152660369873047","4.152660369873047","4.152660369873047","193","193","193","4.401494026184082","4.401494026184082","4.401494026184082","193","193","193","4.251697540283203","4.251697540283203","4.251697540283203","193","193","193","6.300067901611328","6.300067901611328","6.300067901611328","193","193","193","4.066168785095215","4.066168785095215","4.066168785095215","6450","6450","6450"
"6750","","","","","","","","","","","","","","","","","","","","","","","","","4.05929708480835","4.05929708480835","4.05929708480835","6700","6700","6700"
"7000","4.132223129272461","4.132223129272461","4.132223129272461","203","203","203","4.275885581970215","4.275885581970215","4.275885581970215","203","203","203","4.167655944824219","4.167655944824219","4.167655944824219","203","203","203","6.285399913787842","6.285399913787842","6.285399913787842","203","203","203","4.055665969848633","4.055665969848633","4.055665969848633","6950","6950","6950"
