"iter","env2_sgd_2500-3000 - EMA/CV","env2_sgd_2500-3000 - EMA/CV__MIN","env2_sgd_2500-3000 - EMA/CV__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/CV","env2_lion_shock_2500-3000 - EMA/CV__MIN","env2_lion_shock_2500-3000 - EMA/CV__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/CV","env2_muon_shock_2500-3000 - EMA/CV__MIN","env2_muon_shock_2500-3000 - EMA/CV__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/CV","env2_adamw_shock_2500-3000 - EMA/CV__MIN","env2_adamw_shock_2500-3000 - EMA/CV__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"500","0.2083642616407862","0.2083642616407862","0.2083642616407862","10","10","10","0.3309221552511169","0.3309221552511169","0.3309221552511169","10","10","10","0.3728336232847089","0.3728336232847089","0.3728336232847089","10","10","10","0.7128581874327751","0.7128581874327751","0.7128581874327751","10","10","10"
"550","0.2230159338590455","0.2230159338590455","0.2230159338590455","11","11","11","0.31309489021666814","0.31309489021666814","0.31309489021666814","11","11","11","0.37309958828166023","0.37309958828166023","0.37309958828166023","11","11","11","0.6993010431139933","0.6993010431139933","0.6993010431139933","11","11","11"
"600","0.2389026554396082","0.2389026554396082","0.2389026554396082","12","12","12","0.31630334601644833","0.31630334601644833","0.31630334601644833","12","12","12","0.3635548694331558","0.3635548694331558","0.3635548694331558","12","12","12","0.682213779187745","0.682213779187745","0.682213779187745","12","12","12"
"650","0.23948878466916454","0.23948878466916454","0.23948878466916454","13","13","13","0.31100891392959856","0.31100891392959856","0.31100891392959856","13","13","13","0.35781267468054095","0.35781267468054095","0.35781267468054095","13","13","13","0.6557264086514509","0.6557264086514509","0.6557264086514509","13","13","13"
"700","0.23540076622340697","0.23540076622340697","0.23540076622340697","14","14","14","0.3103599415870814","0.3103599415870814","0.3103599415870814","14","14","14","0.3429008623683763","0.3429008623683763","0.3429008623683763","14","14","14","0.6352301694613152","0.6352301694613152","0.6352301694613152","14","14","14"
"750","0.23539509136149847","0.23539509136149847","0.23539509136149847","15","15","15","0.31307197313862295","0.31307197313862295","0.31307197313862295","15","15","15","0.34351111408568136","0.34351111408568136","0.34351111408568136","15","15","15","0.6154240680714049","0.6154240680714049","0.6154240680714049","15","15","15"
"800","0.22165743124102819","0.22165743124102819","0.22165743124102819","16","16","16","0.30262876762269153","0.30262876762269153","0.30262876762269153","16","16","16","0.341753168239851","0.341753168239851","0.341753168239851","16","16","16","0.5982106697835176","0.5982106697835176","0.5982106697835176","16","16","16"
"850","0.24758113227127565","0.24758113227127565","0.24758113227127565","17","17","17","0.3050157797452777","0.3050157797452777","0.3050157797452777","17","17","17","0.34003978631628334","0.34003978631628334","0.34003978631628334","17","17","17","0.5868418928806932","0.5868418928806932","0.5868418928806932","17","17","17"
"900","0.22763147728407357","0.22763147728407357","0.22763147728407357","18","18","18","0.30097341620138457","0.30097341620138457","0.30097341620138457","18","18","18","0.33473922699063685","0.33473922699063685","0.33473922699063685","18","18","18","0.5761570661139817","0.5761570661139817","0.5761570661139817","18","18","18"
"950","0.22257827099005878","0.22257827099005878","0.22257827099005878","19","19","19","0.30327270188689215","0.30327270188689215","0.30327270188689215","19","19","19","0.33587912415898835","0.33587912415898835","0.33587912415898835","19","19","19","0.5708201432034608","0.5708201432034608","0.5708201432034608","19","19","19"
