"iter","env2_sgd_2500-3000 - train/loss_instant","env2_sgd_2500-3000 - train/loss_instant__MIN","env2_sgd_2500-3000 - train/loss_instant__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/loss_instant","env2_lion_shock_2500-3000 - train/loss_instant__MIN","env2_lion_shock_2500-3000 - train/loss_instant__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/loss_instant","env2_muon_shock_2500-3000 - train/loss_instant__MIN","env2_muon_shock_2500-3000 - train/loss_instant__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/loss_instant","env2_adamw_shock_2500-3000 - train/loss_instant__MIN","env2_adamw_shock_2500-3000 - train/loss_instant__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"700","6.921640872955322","6.921640872955322","6.921640872955322","14","14","14","5.062512397766113","5.062512397766113","5.062512397766113","14","14","14","4.796044826507568","4.796044826507568","4.796044826507568","14","14","14","4.651136875152588","4.651136875152588","4.651136875152588","14","14","14"
"750","6.994953155517578","6.994953155517578","6.994953155517578","15","15","15","5.075828552246094","5.075828552246094","5.075828552246094","15","15","15","4.834507465362549","4.834507465362549","4.834507465362549","15","15","15","4.644472122192383","4.644472122192383","4.644472122192383","15","15","15"
"800","6.70803689956665","6.70803689956665","6.70803689956665","16","16","16","4.779542922973633","4.779542922973633","4.779542922973633","16","16","16","4.5788984298706055","4.5788984298706055","4.5788984298706055","16","16","16","4.406141757965088","4.406141757965088","4.406141757965088","16","16","16"
"850","6.64992618560791","6.64992618560791","6.64992618560791","17","17","17","4.767008304595947","4.767008304595947","4.767008304595947","17","17","17","4.55804967880249","4.55804967880249","4.55804967880249","17","17","17","4.398715496063232","4.398715496063232","4.398715496063232","17","17","17"
"900","6.991654396057129","6.991654396057129","6.991654396057129","18","18","18","4.82893180847168","4.82893180847168","4.82893180847168","18","18","18","4.586695671081543","4.586695671081543","4.586695671081543","18","18","18","4.417438507080078","4.417438507080078","4.417438507080078","18","18","18"
"950","6.729071617126465","6.729071617126465","6.729071617126465","19","19","19","4.684447288513184","4.684447288513184","4.684447288513184","19","19","19","4.471629619598389","4.471629619598389","4.471629619598389","19","19","19","4.305351257324219","4.305351257324219","4.305351257324219","19","19","19"
"1000","6.8031907081604","6.8031907081604","6.8031907081604","20","20","20","4.655770778656006","4.655770778656006","4.655770778656006","20","20","20","4.476771354675293","4.476771354675293","4.476771354675293","20","20","20","4.291085720062256","4.291085720062256","4.291085720062256","20","20","20"
"1050","6.733206748962402","6.733206748962402","6.733206748962402","21","21","21","4.562988758087158","4.562988758087158","4.562988758087158","21","21","21","4.424721717834473","4.424721717834473","4.424721717834473","21","21","21","4.256592750549316","4.256592750549316","4.256592750549316","21","21","21"
"1100","6.680424690246582","6.680424690246582","6.680424690246582","22","22","22","4.431890487670898","4.431890487670898","4.431890487670898","22","22","22","4.317781448364258","4.317781448364258","4.317781448364258","22","22","22","4.164346694946289","4.164346694946289","4.164346694946289","22","22","22"
"1150","6.857462406158447","6.857462406158447","6.857462406158447","23","23","23","4.455607891082764","4.455607891082764","4.455607891082764","23","23","23","4.361892223358154","4.361892223358154","4.361892223358154","23","23","23","4.202085971832275","4.202085971832275","4.202085971832275","23","23","23"
