"iter","env2_sgd_2500-3000 - EMA/Grad_Norm","env2_sgd_2500-3000 - EMA/Grad_Norm__MIN","env2_sgd_2500-3000 - EMA/Grad_Norm__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Grad_Norm","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Grad_Norm","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Grad_Norm","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1800","2.0173923554291715","2.0173923554291715","2.0173923554291715","36","36","36","0.34635955298890714","0.34635955298890714","0.34635955298890714","36","36","36","0.37772115926662475","0.37772115926662475","0.37772115926662475","36","36","36","0.3101967602167593","0.3101967602167593","0.3101967602167593","36","36","36"
"1850","2.612004684825478","2.612004684825478","2.612004684825478","37","37","37","0.35956835619407634","0.35956835619407634","0.35956835619407634","37","37","37","0.40028429708599944","0.40028429708599944","0.40028429708599944","37","37","37","0.3116865478728595","0.3116865478728595","0.3116865478728595","37","37","37"
"1900","2.170270860693269","2.170270860693269","2.170270860693269","38","38","38","0.35800094993682624","0.35800094993682624","0.35800094993682624","38","38","38","0.36296006365082695","0.36296006365082695","0.36296006365082695","38","38","38","0.30207499332472637","0.30207499332472637","0.30207499332472637","38","38","38"
"1950","1.99159843612925","1.99159843612925","1.99159843612925","39","39","39","0.34972339289739757","0.34972339289739757","0.34972339289739757","39","39","39","0.3646959424647181","0.3646959424647181","0.3646959424647181","39","39","39","0.3000838002663172","0.3000838002663172","0.3000838002663172","39","39","39"
"2000","2.237821256680245","2.237821256680245","2.237821256680245","40","40","40","0.34214482765771714","0.34214482765771714","0.34214482765771714","40","40","40","0.36331627003476724","0.36331627003476724","0.36331627003476724","40","40","40","0.28709711055485837","0.28709711055485837","0.28709711055485837","40","40","40"
"2050","2.040628933309873","2.040628933309873","2.040628933309873","41","41","41","0.3485467413108802","0.3485467413108802","0.3485467413108802","41","41","41","0.3789234288246665","0.3789234288246665","0.3789234288246665","41","41","41","0.2937530793351692","0.2937530793351692","0.2937530793351692","41","41","41"
"2100","2.26971117189266","2.26971117189266","2.26971117189266","42","42","42","0.34757525806123846","0.34757525806123846","0.34757525806123846","42","42","42","0.3711139421313197","0.3711139421313197","0.3711139421313197","42","42","42","0.30054727265622033","0.30054727265622033","0.30054727265622033","42","42","42"
"2150","2.2888800786421695","2.2888800786421695","2.2888800786421695","43","43","43","0.33430734765472775","0.33430734765472775","0.33430734765472775","43","43","43","0.3588446884379826","0.3588446884379826","0.3588446884379826","43","43","43","0.2980358020764112","0.2980358020764112","0.2980358020764112","43","43","43"
"2200","2.035884819443602","2.035884819443602","2.035884819443602","44","44","44","0.3377389059695575","0.3377389059695575","0.3377389059695575","44","44","44","0.36280481335326464","0.36280481335326464","0.36280481335326464","44","44","44","0.29839209936553646","0.29839209936553646","0.29839209936553646","44","44","44"
"2250","2.6585904957003375","2.6585904957003375","2.6585904957003375","45","45","45","0.32781707393034837","0.32781707393034837","0.32781707393034837","45","45","45","0.3714293449245127","0.3714293449245127","0.3714293449245127","45","45","45","0.30232871800746125","0.30232871800746125","0.30232871800746125","45","45","45"
