"iter","env1_muon - EMA/Loss","env1_muon - EMA/Loss__MIN","env1_muon - EMA/Loss__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/Loss","env1_lion - EMA/Loss__MIN","env1_lion - EMA/Loss__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/Loss","env1_adam - EMA/Loss__MIN","env1_adam - EMA/Loss__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/Loss"," env1_sgd - EMA/Loss__MIN"," env1_sgd - EMA/Loss__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/Loss","env1_adamw - EMA/Loss__MIN","env1_adamw - EMA/Loss__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2250","0.7234399478501923","0.7234399478501923","0.7234399478501923","45","45","45","0.740634639629069","0.740634639629069","0.740634639629069","45","45","45","0.7120322231495956","0.7120322231495956","0.7120322231495956","45","45","45","1.0331930517744554","1.0331930517744554","1.0331930517744554","45","45","45","0.6966348506170512","0.6966348506170512","0.6966348506170512","2200","2200","2200"
"2300","0.7123680184519656","0.7123680184519656","0.7123680184519656","46","46","46","0.7344902223338207","0.7344902223338207","0.7344902223338207","46","46","46","0.7042875199672419","0.7042875199672419","0.7042875199672419","46","46","46","1.0321134506172338","1.0321134506172338","1.0321134506172338","46","46","46","0.6993978829301315","0.6993978829301315","0.6993978829301315","2250","2250","2250"
"2350","0.7160774563519047","0.7160774563519047","0.7160774563519047","47","47","47","0.7314240856888732","0.7314240856888732","0.7314240856888732","47","47","47","0.7044932669377463","0.7044932669377463","0.7044932669377463","47","47","47","1.0388064198372977","1.0388064198372977","1.0388064198372977","47","47","47","0.7262356941605963","0.7262356941605963","0.7262356941605963","2300","2300","2300"
"2400","0.7040914540100173","0.7040914540100173","0.7040914540100173","48","48","48","0.7242043676117427","0.7242043676117427","0.7242043676117427","48","48","48","0.6991264031022156","0.6991264031022156","0.6991264031022156","48","48","48","1.0455282615540995","1.0455282615540995","1.0455282615540995","48","48","48","0.7003217724362092","0.7003217724362092","0.7003217724362092","2350","2350","2350"
"2450","0.7054978428477063","0.7054978428477063","0.7054978428477063","49","49","49","0.7173800031368274","0.7173800031368274","0.7173800031368274","49","49","49","0.6941241749482022","0.6941241749482022","0.6941241749482022","49","49","49","1.0342716045263016","1.0342716045263016","1.0342716045263016","49","49","49","0.7102986104320126","0.7102986104320126","0.7102986104320126","2400","2400","2400"
"2500","0.7003546847553641","0.7003546847553641","0.7003546847553641","50","50","50","0.7178714638437882","0.7178714638437882","0.7178714638437882","50","50","50","0.6982361312162723","0.6982361312162723","0.6982361312162723","50","50","50","1.0325309052493576","1.0325309052493576","1.0325309052493576","50","50","50","0.7031646245874615","0.7031646245874615","0.7031646245874615","2450","2450","2450"
"2550","0.6728521227479088","0.6728521227479088","0.6728521227479088","51","51","51","0.6871274337608584","0.6871274337608584","0.6871274337608584","51","51","51","0.6733247443446577","0.6733247443446577","0.6733247443446577","51","51","51","1.0059295602719371","1.0059295602719371","1.0059295602719371","51","51","51","0.6969432278922794","0.6969432278922794","0.6969432278922794","2500","2500","2500"
"2600","0.705452460520815","0.705452460520815","0.705452460520815","52","52","52","0.7265029605119088","0.7265029605119088","0.7265029605119088","52","52","52","0.7168969052790006","0.7168969052790006","0.7168969052790006","52","52","52","1.0408770253479303","1.0408770253479303","1.0408770253479303","52","52","52","0.6930711160503373","0.6930711160503373","0.6930711160503373","2550","2550","2550"
"2650","0.6850341259299312","0.6850341259299312","0.6850341259299312","53","53","53","0.6936742114609611","0.6936742114609611","0.6936742114609611","53","53","53","0.6813893812669002","0.6813893812669002","0.6813893812669002","53","53","53","1.0149702809555063","1.0149702809555063","1.0149702809555063","53","53","53","0.6822852111763094","0.6822852111763094","0.6822852111763094","2600","2600","2600"
"2700","0.7104561695279445","0.7104561695279445","0.7104561695279445","54","54","54","0.7154923271768261","0.7154923271768261","0.7154923271768261","54","54","54","0.7035763401725907","0.7035763401725907","0.7035763401725907","54","54","54","1.0296359724631057","1.0296359724631057","1.0296359724631057","54","54","54","0.6843735819653984","0.6843735819653984","0.6843735819653984","2650","2650","2650"
