"iter","env2_sgd_2500-3000 - EMA/Loss","env2_sgd_2500-3000 - EMA/Loss__MIN","env2_sgd_2500-3000 - EMA/Loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Loss","env2_lion_shock_2500-3000 - EMA/Loss__MIN","env2_lion_shock_2500-3000 - EMA/Loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Loss","env2_muon_shock_2500-3000 - EMA/Loss__MIN","env2_muon_shock_2500-3000 - EMA/Loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Loss","env2_adamw_shock_2500-3000 - EMA/Loss__MIN","env2_adamw_shock_2500-3000 - EMA/Loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"500","1.0981290895083613","1.0981290895083613","1.0981290895083613","10","10","10","0.8572247391892698","0.8572247391892698","0.8572247391892698","10","10","10","0.8274718260067744","0.8274718260067744","0.8274718260067744","10","10","10","0.7936461114275541","0.7936461114275541","0.7936461114275541","10","10","10"
"550","1.091780417301669","1.091780417301669","1.091780417301669","11","11","11","0.8376151898824573","0.8376151898824573","0.8376151898824573","11","11","11","0.8069606066448727","0.8069606066448727","0.8069606066448727","11","11","11","0.7733961280583437","0.7733961280583437","0.7733961280583437","11","11","11"
"600","1.0946549511801593","1.0946549511801593","1.0946549511801593","12","12","12","0.8333952124767585","0.8333952124767585","0.8333952124767585","12","12","12","0.7984477494565544","0.7984477494565544","0.7984477494565544","12","12","12","0.7686518507906037","0.7686518507906037","0.7686518507906037","12","12","12"
"650","1.0519306217422877","1.0519306217422877","1.0519306217422877","13","13","13","0.7818373372848302","0.7818373372848302","0.7818373372848302","13","13","13","0.7428446022207924","0.7428446022207924","0.7428446022207924","13","13","13","0.719849069922462","0.719849069922462","0.719849069922462","13","13","13"
"700","1.0559145492948807","1.0559145492948807","1.0559145492948807","14","14","14","0.7727836813056369","0.7727836813056369","0.7727836813056369","14","14","14","0.7308568890197527","0.7308568890197527","0.7308568890197527","14","14","14","0.709624888061867","0.709624888061867","0.709624888061867","14","14","14"
"750","1.0728685221178877","1.0728685221178877","1.0728685221178877","15","15","15","0.7786577292074244","0.7786577292074244","0.7786577292074244","15","15","15","0.7391209861652097","0.7391209861652097","0.7391209861652097","15","15","15","0.7122538055624565","0.7122538055624565","0.7122538055624565","15","15","15"
"800","1.0392510267896338","1.0392510267896338","1.0392510267896338","16","16","16","0.7430171126927669","0.7430171126927669","0.7430171126927669","16","16","16","0.7100170651049991","0.7100170651049991","0.7100170651049991","16","16","16","0.6839754967545865","0.6839754967545865","0.6839754967545865","16","16","16"
"850","1.0310703967373849","1.0310703967373849","1.0310703967373849","17","17","17","0.73540401388447","0.73540401388447","0.73540401388447","17","17","17","0.7021407319654318","0.7021407319654318","0.7021407319654318","17","17","17","0.6770413442864045","0.6770413442864045","0.6770413442864045","17","17","17"
"900","1.0739107026426296","1.0739107026426296","1.0739107026426296","18","18","18","0.746750990039194","0.746750990039194","0.746750990039194","18","18","18","0.7094888785607862","0.7094888785607862","0.7094888785607862","18","18","18","0.6830501762168354","0.6830501762168354","0.6830501762168354","18","18","18"
"950","1.04081023852096","1.04081023852096","1.04081023852096","19","19","19","0.7204737698975675","0.7204737698975675","0.7204737698975675","19","19","19","0.6837434819087796","0.6837434819087796","0.6837434819087796","19","19","19","0.6597337438751417","0.6597337438751417","0.6597337438751417","19","19","19"
"1000","1.0359406002922573","1.0359406002922573","1.0359406002922573","20","20","20","0.7086977545039268","0.7086977545039268","0.7086977545039268","20","20","20","0.6798852750396888","0.6798852750396888","0.6798852750396888","20","20","20","0.6529752818368222","0.6529752818368222","0.6529752818368222","20","20","20"
"1050","1.0319371231470362","1.0319371231470362","1.0319371231470362","21","21","21","0.6926847248564482","0.6926847248564482","0.6926847248564482","21","21","21","0.6700673765101011","0.6700673765101011","0.6700673765101011","21","21","21","0.6448043310872196","0.6448043310872196","0.6448043310872196","21","21","21"
"1100","1.0365575091839165","1.0365575091839165","1.0365575091839165","22","22","22","0.6840387884883722","0.6840387884883722","0.6840387884883722","22","22","22","0.6648299599936143","0.6648299599936143","0.6648299599936143","22","22","22","0.6405939130931624","0.6405939130931624","0.6405939130931624","22","22","22"
"1150","1.050776762154907","1.050776762154907","1.050776762154907","23","23","23","0.6905279380875312","0.6905279380875312","0.6905279380875312","23","23","23","0.6753887406079105","0.6753887406079105","0.6753887406079105","23","23","23","0.6509611509978671","0.6509611509978671","0.6509611509978671","23","23","23"
