"iter","env2_lion_1500-1800 - train/loss","env2_lion_1500-1800 - train/loss__MIN","env2_lion_1500-1800 - train/loss__MAX","env2_lion_1500-1800 - _step","env2_lion_1500-1800 - _step__MIN","env2_lion_1500-1800 - _step__MAX","env2_muon_1500-1800 - train/loss","env2_muon_1500-1800 - train/loss__MIN","env2_muon_1500-1800 - train/loss__MAX","env2_muon_1500-1800 - _step","env2_muon_1500-1800 - _step__MIN","env2_muon_1500-1800 - _step__MAX","env2_adamw_shock_1500-1800 - train/loss","env2_adamw_shock_1500-1800 - train/loss__MIN","env2_adamw_shock_1500-1800 - train/loss__MAX","env2_adamw_shock_1500-1800 - _step","env2_adamw_shock_1500-1800 - _step__MIN","env2_adamw_shock_1500-1800 - _step__MAX"
"0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0"
"500","5.533669471740723","5.533669471740723","5.533669471740723","10","10","10","5.323568344116211","5.323568344116211","5.323568344116211","10","10","10","5.136745452880859","5.136745452880859","5.136745452880859","10","10","10"
"1000","4.60867977142334","4.60867977142334","4.60867977142334","20","20","20","4.416862964630127","4.416862964630127","4.416862964630127","20","20","20","4.257477760314941","4.257477760314941","4.257477760314941","20","20","20"
"1500","4.118312835693359","4.118312835693359","4.118312835693359","39","39","39","4.139931678771973","4.139931678771973","4.139931678771973","39","39","39","3.9895195960998535","3.9895195960998535","3.9895195960998535","39","39","39"
"2000","4.114036560058594","4.114036560058594","4.114036560058594","139","139","139","4.089140892028809","4.089140892028809","4.089140892028809","139","139","139","3.94840931892395","3.94840931892395","3.94840931892395","139","139","139"
"2500","3.8355765342712402","3.8355765342712402","3.8355765342712402","149","149","149","3.9387030601501465","3.9387030601501465","3.9387030601501465","149","149","149","3.78619647026062","3.78619647026062","3.78619647026062","149","149","149"
"3000","3.702255964279175","3.702255964279175","3.702255964279175","159","159","159","3.842078685760498","3.842078685760498","3.842078685760498","159","159","159","3.6849684715270996","3.6849684715270996","3.6849684715270996","159","159","159"
