"iter","env2_sgd_2500-3000 - EMA/KL_Div","env2_sgd_2500-3000 - EMA/KL_Div__MIN","env2_sgd_2500-3000 - EMA/KL_Div__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/KL_Div","env2_lion_shock_2500-3000 - EMA/KL_Div__MIN","env2_lion_shock_2500-3000 - EMA/KL_Div__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/KL_Div","env2_muon_shock_2500-3000 - EMA/KL_Div__MIN","env2_muon_shock_2500-3000 - EMA/KL_Div__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/KL_Div","env2_adamw_shock_2500-3000 - EMA/KL_Div__MIN","env2_adamw_shock_2500-3000 - EMA/KL_Div__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"500","0.000892415469271131","0.000892415469271131","0.000892415469271131","10","10","10","0.0011541743235851769","0.0011541743235851769","0.0011541743235851769","10","10","10","0.0013095782958911467","0.0013095782958911467","0.0013095782958911467","10","10","10","0.01154381719513911","0.01154381719513911","0.01154381719513911","10","10","10"
"550","0.0009825719746770231","0.0009825719746770231","0.0009825719746770231","11","11","11","0.0013779790428426774","0.0013779790428426774","0.0013779790428426774","11","11","11","0.001461499146303168","0.001461499146303168","0.001461499146303168","11","11","11","0.010278916532064199","0.010278916532064199","0.010278916532064199","11","11","11"
"600","0.0011302753401612263","0.0011302753401612263","0.0011302753401612263","12","12","12","0.0012345027117870715","0.0012345027117870715","0.0012345027117870715","12","12","12","0.0014729196088135615","0.0014729196088135615","0.0014729196088135615","12","12","12","0.010239759505024237","0.010239759505024237","0.010239759505024237","12","12","12"
"650","0.0009659832062148407","0.0009659832062148407","0.0009659832062148407","13","13","13","0.0013234244231670243","0.0013234244231670243","0.0013234244231670243","13","13","13","0.001368055091738336","0.001368055091738336","0.001368055091738336","13","13","13","0.00876886176580289","0.00876886176580289","0.00876886176580289","13","13","13"
"700","0.0009798608931793785","0.0009798608931793785","0.0009798608931793785","14","14","14","0.0015456948564300777","0.0015456948564300777","0.0015456948564300777","14","14","14","0.001157650717306091","0.001157650717306091","0.001157650717306091","14","14","14","0.008160222325739673","0.008160222325739673","0.008160222325739673","14","14","14"
"750","0.001049807604295916","0.001049807604295916","0.001049807604295916","15","15","15","0.0012428477437050976","0.0012428477437050976","0.0012428477437050976","15","15","15","0.0013839671794759554","0.0013839671794759554","0.0013839671794759554","15","15","15","0.00815613089820021","0.00815613089820021","0.00815613089820021","15","15","15"
"800","0.0011729410854235387","0.0011729410854235387","0.0011729410854235387","16","16","16","0.0012791076060341179","0.0012791076060341179","0.0012791076060341179","16","16","16","0.0013739180649767592","0.0013739180649767592","0.0013739180649767592","16","16","16","0.008098173445254913","0.008098173445254913","0.008098173445254913","16","16","16"
"850","0.001141690101492445","0.001141690101492445","0.001141690101492445","17","17","17","0.0013284784180032417","0.0013284784180032417","0.0013284784180032417","17","17","17","0.0014727333443398766","0.0014727333443398766","0.0014727333443398766","17","17","17","0.007545572767499313","0.007545572767499313","0.007545572767499313","17","17","17"
"900","0.0010666128787285999","0.0010666128787285999","0.0010666128787285999","18","18","18","0.0012784786203334677","0.0012784786203334677","0.0012784786203334677","18","18","18","0.0012571043773685847","0.0012571043773685847","0.0012571043773685847","18","18","18","0.007387651911264074","0.007387651911264074","0.007387651911264074","18","18","18"
"950","0.0010850900997762115","0.0010850900997762115","0.0010850900997762115","19","19","19","0.0010385924102694491","0.0010385924102694491","0.0010385924102694491","19","19","19","0.001352725785874532","0.001352725785874532","0.001352725785874532","19","19","19","0.007285484049520237","0.007285484049520237","0.007285484049520237","19","19","19"
