"iter","env2_sgd_2500-3000 - EMA/dropped_tokens","env2_sgd_2500-3000 - EMA/dropped_tokens__MIN","env2_sgd_2500-3000 - EMA/dropped_tokens__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/dropped_tokens","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/dropped_tokens","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/dropped_tokens","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"1000","158.2522037147615","158.2522037147615","158.2522037147615","20","20","20","0.002022008791653143","0.002022008791653143","0.002022008791653143","20","20","20","63.01524950863404","63.01524950863404","63.01524950863404","20","20","20","100.08888052777334","100.08888052777334","100.08888052777334","20","20","20"
"1050","187.3155962840089","187.3155962840089","187.3155962840089","21","21","21","0.000010420978779405283","0.000010420978779405283","0.000010420978779405283","21","21","21","39.52476643060069","39.52476643060069","39.52476643060069","21","21","21","134.01583559099245","134.01583559099245","134.01583559099245","21","21","21"
"1100","169.26538247607292","169.26538247607292","169.26538247607292","22","22","22","5.3707382069308036e-8","5.3707382069308036e-8","5.3707382069308036e-8","22","22","22","2.6037017613051487","2.6037017613051487","2.6037017613051487","22","22","22","87.89068749085715","87.89068749085715","87.89068749085715","22","22","22"
"1150","447.6723557316628","447.6723557316628","447.6723557316628","23","23","23","195.9000000002768","195.9000000002768","195.9000000002768","23","23","23","221.51341889358466","221.51341889358466","221.51341889358466","23","23","23","419.7529688461447","419.7529688461447","419.7529688461447","23","23","23"
"1200","224.20720268797245","224.20720268797245","224.20720268797245","24","24","24","1.0096245631154381","1.0096245631154381","1.0096245631154381","24","24","24","22.341630366382475","22.341630366382475","22.341630366382475","24","24","24","119.76331244403829","119.76331244403829","119.76331244403829","24","24","24"
"1250","122.05551352251588","122.05551352251588","122.05551352251588","25","25","25","4.405203378042086","4.405203378042086","4.405203378042086","25","25","25","8.115143740673373","8.115143740673373","8.115143740673373","25","25","25","100.31723319042062","100.31723319042062","100.31723319042062","25","25","25"
"1300","213.82904667950908","213.82904667950908","213.82904667950908","26","26","26","0.022703427952956146","0.022703427952956146","0.022703427952956146","26","26","26","19.941823626614525","19.941823626614525","19.941823626614525","26","26","26","91.91701246928375","91.91701246928375","91.91701246928375","26","26","26"
"1350","171.00202683938176","171.00202683938176","171.00202683938176","27","27","27","8.900117008364106","8.900117008364106","8.900117008364106","27","27","27","45.502775676195604","45.502775676195604","45.502775676195604","27","27","27","86.37371961999513","86.37371961999513","86.37371961999513","27","27","27"
"1400","253.1813060063263","253.1813060063263","253.1813060063263","28","28","28","27.845869202379955","27.845869202379955","27.845869202379955","28","28","28","31.13451107714423","31.13451107714423","31.13451107714423","28","28","28","153.44515073474156","153.44515073474156","153.44515073474156","28","28","28"
"1450","158.10483953785234","158.10483953785234","158.10483953785234","29","29","29","4.143511350321504","4.143511350321504","4.143511350321504","29","29","29","2.46046027128142","2.46046027128142","2.46046027128142","29","29","29","5.29082181354021","5.29082181354021","5.29082181354021","29","29","29"
