"iter","env2_sgd_2500-3000 - train/z_loss","env2_sgd_2500-3000 - train/z_loss__MIN","env2_sgd_2500-3000 - train/z_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/z_loss","env2_lion_shock_2500-3000 - train/z_loss__MIN","env2_lion_shock_2500-3000 - train/z_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/z_loss","env2_muon_shock_2500-3000 - train/z_loss__MIN","env2_muon_shock_2500-3000 - train/z_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/z_loss","env2_adamw_shock_2500-3000 - train/z_loss__MIN","env2_adamw_shock_2500-3000 - train/z_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"500","0.9408826380968094","0.9408826380968094","0.9408826380968094","10","10","10","1.8642983436584473","1.8642983436584473","1.8642983436584473","10","10","10","1.4092559814453125","1.4092559814453125","1.4092559814453125","10","10","10","1.2434763610363007","1.2434763610363007","1.2434763610363007","10","10","10"
"550","1.0088165402412415","1.0088165402412415","1.0088165402412415","11","11","11","1.6129555702209473","1.6129555702209473","1.6129555702209473","11","11","11","1.6249689161777496","1.6249689161777496","1.6249689161777496","11","11","11","1.0884708166122437","1.0884708166122437","1.0884708166122437","11","11","11"
"600","1.1332234740257263","1.1332234740257263","1.1332234740257263","12","12","12","1.5901496708393097","1.5901496708393097","1.5901496708393097","12","12","12","1.3937912285327911","1.3937912285327911","1.3937912285327911","12","12","12","1.1959145963191986","1.1959145963191986","1.1959145963191986","12","12","12"
"650","0.8695134669542313","0.8695134669542313","0.8695134669542313","13","13","13","1.3979542553424835","1.3979542553424835","1.3979542553424835","13","13","13","1.3424683511257172","1.3424683511257172","1.3424683511257172","13","13","13","1.0153580456972122","1.0153580456972122","1.0153580456972122","13","13","13"
"700","1.4811344295740128","1.4811344295740128","1.4811344295740128","14","14","14","1.4878185093402863","1.4878185093402863","1.4878185093402863","14","14","14","1.6277418732643127","1.6277418732643127","1.6277418732643127","14","14","14","1.0529009699821472","1.0529009699821472","1.0529009699821472","14","14","14"
"750","0.7471130043268204","0.7471130043268204","0.7471130043268204","15","15","15","1.387769192457199","1.387769192457199","1.387769192457199","15","15","15","1.2442230880260468","1.2442230880260468","1.2442230880260468","15","15","15","0.9841378629207611","0.9841378629207611","0.9841378629207611","15","15","15"
"800","0.7316249310970306","0.7316249310970306","0.7316249310970306","16","16","16","1.2409670054912567","1.2409670054912567","1.2409670054912567","16","16","16","1.2426802814006805","1.2426802814006805","1.2426802814006805","16","16","16","1.0134961158037186","1.0134961158037186","1.0134961158037186","16","16","16"
"850","0.6821566224098206","0.6821566224098206","0.6821566224098206","17","17","17","1.2279396653175354","1.2279396653175354","1.2279396653175354","17","17","17","1.162134438753128","1.162134438753128","1.162134438753128","17","17","17","0.9660197049379349","0.9660197049379349","0.9660197049379349","17","17","17"
"900","0.7770071774721146","0.7770071774721146","0.7770071774721146","18","18","18","1.0946197807788849","1.0946197807788849","1.0946197807788849","18","18","18","1.2381076514720917","1.2381076514720917","1.2381076514720917","18","18","18","0.9270832687616348","0.9270832687616348","0.9270832687616348","18","18","18"
"950","0.7254521399736404","0.7254521399736404","0.7254521399736404","19","19","19","1.0857282876968384","1.0857282876968384","1.0857282876968384","19","19","19","1.0858410894870758","1.0858410894870758","1.0858410894870758","19","19","19","0.8710883259773254","0.8710883259773254","0.8710883259773254","19","19","19"
