"iter","env1_muon - EMA/Grad_Norm","env1_muon - EMA/Grad_Norm__MIN","env1_muon - EMA/Grad_Norm__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/Grad_Norm","env1_lion - EMA/Grad_Norm__MIN","env1_lion - EMA/Grad_Norm__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/Grad_Norm","env1_adam - EMA/Grad_Norm__MIN","env1_adam - EMA/Grad_Norm__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/Grad_Norm"," env1_sgd - EMA/Grad_Norm__MIN"," env1_sgd - EMA/Grad_Norm__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/Grad_Norm","env1_adamw - EMA/Grad_Norm__MIN","env1_adamw - EMA/Grad_Norm__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"1250","0.7358586592410177","0.7358586592410177","0.7358586592410177","25","25","25","0.48381361708038295","0.48381361708038295","0.48381361708038295","25","25","25","1.1920288666538101","1.1920288666538101","1.1920288666538101","25","25","25","0.32354756326437284","0.32354756326437284","0.32354756326437284","25","25","25","1.0329062702200549","1.0329062702200549","1.0329062702200549","1200","1200","1200"
"1300","0.72685401613814","0.72685401613814","0.72685401613814","26","26","26","0.45898795729321035","0.45898795729321035","0.45898795729321035","26","26","26","1.035808703986382","1.035808703986382","1.035808703986382","26","26","26","0.3303355592619617","0.3303355592619617","0.3303355592619617","26","26","26","1.1231885321266972","1.1231885321266972","1.1231885321266972","1250","1250","1250"
"1350","0.6417606990464398","0.6417606990464398","0.6417606990464398","27","27","27","0.4956903387500728","0.4956903387500728","0.4956903387500728","27","27","27","1.1690925573189268","1.1690925573189268","1.1690925573189268","27","27","27","0.3467786997447369","0.3467786997447369","0.3467786997447369","27","27","27","1.3689750832905287","1.3689750832905287","1.3689750832905287","1300","1300","1300"
"1400","0.5954238266483924","0.5954238266483924","0.5954238266483924","28","28","28","0.5030811447891408","0.5030811447891408","0.5030811447891408","28","28","28","1.117625825146182","1.117625825146182","1.117625825146182","28","28","28","0.3419713234704702","0.3419713234704702","0.3419713234704702","28","28","28","1.199124991099778","1.199124991099778","1.199124991099778","1350","1350","1350"
"1450","0.6103851485256714","0.6103851485256714","0.6103851485256714","29","29","29","0.5557065910153377","0.5557065910153377","0.5557065910153377","29","29","29","1.2437955213004128","1.2437955213004128","1.2437955213004128","29","29","29","0.3539938122155296","0.3539938122155296","0.3539938122155296","29","29","29","1.3620859314203257","1.3620859314203257","1.3620859314203257","1400","1400","1400"
"1500","0.6115362455623624","0.6115362455623624","0.6115362455623624","30","30","30","0.5453412498976822","0.5453412498976822","0.5453412498976822","30","30","30","1.3468764545789602","1.3468764545789602","1.3468764545789602","30","30","30","0.3897587680076656","0.3897587680076656","0.3897587680076656","30","30","30","1.2308414912592107","1.2308414912592107","1.2308414912592107","1450","1450","1450"
"1550","0.5898188112440303","0.5898188112440303","0.5898188112440303","31","31","31","0.5791203629667571","0.5791203629667571","0.5791203629667571","31","31","31","1.2078962049714874","1.2078962049714874","1.2078962049714874","31","31","31","0.418519384724486","0.418519384724486","0.418519384724486","31","31","31","1.1902623646255939","1.1902623646255939","1.1902623646255939","1500","1500","1500"
"1600","0.5996166730452679","0.5996166730452679","0.5996166730452679","32","32","32","0.5892477858798422","0.5892477858798422","0.5892477858798422","32","32","32","1.1653649437842875","1.1653649437842875","1.1653649437842875","32","32","32","0.4052201464864197","0.4052201464864197","0.4052201464864197","32","32","32","1.3439114805880994","1.3439114805880994","1.3439114805880994","1550","1550","1550"
"1650","0.5621512013178216","0.5621512013178216","0.5621512013178216","33","33","33","0.5428035655483584","0.5428035655483584","0.5428035655483584","33","33","33","1.4508719955695701","1.4508719955695701","1.4508719955695701","33","33","33","0.43117329551607636","0.43117329551607636","0.43117329551607636","33","33","33","1.3621000301162685","1.3621000301162685","1.3621000301162685","1600","1600","1600"
"1700","0.5791342991451505","0.5791342991451505","0.5791342991451505","34","34","34","0.5545251024103338","0.5545251024103338","0.5545251024103338","34","34","34","1.365221218485722","1.365221218485722","1.365221218485722","34","34","34","0.508088759882639","0.508088759882639","0.508088759882639","34","34","34","1.4410444267219569","1.4410444267219569","1.4410444267219569","1650","1650","1650"
