"iter","env1_muon - EMA/CV","env1_muon - EMA/CV__MIN","env1_muon - EMA/CV__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/CV","env1_lion - EMA/CV__MIN","env1_lion - EMA/CV__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/CV","env1_adam - EMA/CV__MIN","env1_adam - EMA/CV__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/CV"," env1_sgd - EMA/CV__MIN"," env1_sgd - EMA/CV__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/CV","env1_adamw - EMA/CV__MIN","env1_adamw - EMA/CV__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"900","0.7451683068434929","0.7451683068434929","0.7451683068434929","18","18","18","1.0262075158917645","1.0262075158917645","1.0262075158917645","18","18","18","0.891154675834409","0.891154675834409","0.891154675834409","18","18","18","1.2881405212532813","1.2881405212532813","1.2881405212532813","18","18","18","0.8758356267017837","0.8758356267017837","0.8758356267017837","850","850","850"
"950","0.7408078942744137","0.7408078942744137","0.7408078942744137","19","19","19","1.0331218009885388","1.0331218009885388","1.0331218009885388","19","19","19","0.8751448189610498","0.8751448189610498","0.8751448189610498","19","19","19","1.2302463964919463","1.2302463964919463","1.2302463964919463","19","19","19","0.8173773099364523","0.8173773099364523","0.8173773099364523","900","900","900"
"1000","0.6977268566550704","0.6977268566550704","0.6977268566550704","20","20","20","1.059503966424423","1.059503966424423","1.059503966424423","20","20","20","0.8711521150325874","0.8711521150325874","0.8711521150325874","20","20","20","1.2448048728738719","1.2448048728738719","1.2448048728738719","20","20","20","0.8474043158851717","0.8474043158851717","0.8474043158851717","950","950","950"
"1050","0.695253135448376","0.695253135448376","0.695253135448376","21","21","21","1.070166502674295","1.070166502674295","1.070166502674295","21","21","21","0.8811644859590474","0.8811644859590474","0.8811644859590474","21","21","21","1.2432317210634867","1.2432317210634867","1.2432317210634867","21","21","21","0.8497980195189836","0.8497980195189836","0.8497980195189836","1000","1000","1000"
"1100","0.72739314340983","0.72739314340983","0.72739314340983","22","22","22","1.1006469106774972","1.1006469106774972","1.1006469106774972","22","22","22","0.9047436769286505","0.9047436769286505","0.9047436769286505","22","22","22","1.2740863998900318","1.2740863998900318","1.2740863998900318","22","22","22","0.8879502891321817","0.8879502891321817","0.8879502891321817","1050","1050","1050"
"1150","0.6848703519352987","0.6848703519352987","0.6848703519352987","23","23","23","1.0589661113164377","1.0589661113164377","1.0589661113164377","23","23","23","0.8508477345529452","0.8508477345529452","0.8508477345529452","23","23","23","1.2245790187419987","1.2245790187419987","1.2245790187419987","23","23","23","0.8366284342934882","0.8366284342934882","0.8366284342934882","1100","1100","1100"
"1200","0.7035338549255297","0.7035338549255297","0.7035338549255297","24","24","24","1.0912878801260064","1.0912878801260064","1.0912878801260064","24","24","24","0.9120994274178195","0.9120994274178195","0.9120994274178195","24","24","24","1.213865570858159","1.213865570858159","1.213865570858159","24","24","24","0.8379462661274159","0.8379462661274159","0.8379462661274159","1150","1150","1150"
"1250","0.6841889855945317","0.6841889855945317","0.6841889855945317","25","25","25","1.0867067111754494","1.0867067111754494","1.0867067111754494","25","25","25","0.8898476628888808","0.8898476628888808","0.8898476628888808","25","25","25","1.2282843282336455","1.2282843282336455","1.2282843282336455","25","25","25","0.8729295877250476","0.8729295877250476","0.8729295877250476","1200","1200","1200"
"1300","0.6741010868759904","0.6741010868759904","0.6741010868759904","26","26","26","1.0173181671944274","1.0173181671944274","1.0173181671944274","26","26","26","0.9030141896290295","0.9030141896290295","0.9030141896290295","26","26","26","1.222481707228799","1.222481707228799","1.222481707228799","26","26","26","0.8853834521036488","0.8853834521036488","0.8853834521036488","1250","1250","1250"
"1350","0.7008009566272915","0.7008009566272915","0.7008009566272915","27","27","27","1.0604736281124332","1.0604736281124332","1.0604736281124332","27","27","27","0.9448915675926083","0.9448915675926083","0.9448915675926083","27","27","27","1.229441529361817","1.229441529361817","1.229441529361817","27","27","27","0.8514312936678258","0.8514312936678258","0.8514312936678258","1300","1300","1300"
"1400","0.6861533276397352","0.6861533276397352","0.6861533276397352","28","28","28","0.9912158374919475","0.9912158374919475","0.9912158374919475","28","28","28","0.9616707683569159","0.9616707683569159","0.9616707683569159","28","28","28","1.2300520599792781","1.2300520599792781","1.2300520599792781","28","28","28","0.8759342866147006","0.8759342866147006","0.8759342866147006","1350","1350","1350"
"1450","0.6621568865984173","0.6621568865984173","0.6621568865984173","29","29","29","0.9565732638021978","0.9565732638021978","0.9565732638021978","29","29","29","0.9390132579247367","0.9390132579247367","0.9390132579247367","29","29","29","1.2253310499040826","1.2253310499040826","1.2253310499040826","29","29","29","0.9041890411389298","0.9041890411389298","0.9041890411389298","1400","1400","1400"
"1500","0.6725673145450484","0.6725673145450484","0.6725673145450484","30","30","30","0.9658185873378109","0.9658185873378109","0.9658185873378109","30","30","30","0.9447078649451848","0.9447078649451848","0.9447078649451848","30","30","30","1.2310603745662565","1.2310603745662565","1.2310603745662565","30","30","30","0.8834536359101053","0.8834536359101053","0.8834536359101053","1450","1450","1450"
"1550","0.644323873518617","0.644323873518617","0.644323873518617","31","31","31","0.9846564856759902","0.9846564856759902","0.9846564856759902","31","31","31","0.9629006226434075","0.9629006226434075","0.9629006226434075","31","31","31","1.2634573303145633","1.2634573303145633","1.2634573303145633","31","31","31","0.8880070223240083","0.8880070223240083","0.8880070223240083","1500","1500","1500"
"1600","0.6264428360614103","0.6264428360614103","0.6264428360614103","32","32","32","0.9668484244059333","0.9668484244059333","0.9668484244059333","32","32","32","0.9588657292195001","0.9588657292195001","0.9588657292195001","32","32","32","1.2414329939814581","1.2414329939814581","1.2414329939814581","32","32","32","0.8960115457239836","0.8960115457239836","0.8960115457239836","1550","1550","1550"
"1650","0.6027942215282728","0.6027942215282728","0.6027942215282728","33","33","33","0.925148438118252","0.925148438118252","0.925148438118252","33","33","33","0.9513389709871475","0.9513389709871475","0.9513389709871475","33","33","33","1.216194929868372","1.216194929868372","1.216194929868372","33","33","33","0.9144028462990655","0.9144028462990655","0.9144028462990655","1600","1600","1600"
"1700","0.6220668862845579","0.6220668862845579","0.6220668862845579","34","34","34","0.9442544622464918","0.9442544622464918","0.9442544622464918","34","34","34","0.9897722330082612","0.9897722330082612","0.9897722330082612","34","34","34","1.2086255186422545","1.2086255186422545","1.2086255186422545","34","34","34","0.8938552941261134","0.8938552941261134","0.8938552941261134","1650","1650","1650"
"1750","0.5986916120863645","0.5986916120863645","0.5986916120863645","35","35","35","0.9502155762467428","0.9502155762467428","0.9502155762467428","35","35","35","0.9766584451742787","0.9766584451742787","0.9766584451742787","35","35","35","1.221810240843065","1.221810240843065","1.221810240843065","35","35","35","0.9575441095011098","0.9575441095011098","0.9575441095011098","1700","1700","1700"
"1800","0.566296333138833","0.566296333138833","0.566296333138833","36","36","36","0.881982629673489","0.881982629673489","0.881982629673489","36","36","36","1.0053079284629525","1.0053079284629525","1.0053079284629525","36","36","36","1.1867475639936205","1.1867475639936205","1.1867475639936205","36","36","36","0.9419978223480767","0.9419978223480767","0.9419978223480767","1750","1750","1750"
"1850","0.5851732068471522","0.5851732068471522","0.5851732068471522","37","37","37","0.9064208212258756","0.9064208212258756","0.9064208212258756","37","37","37","0.9664793761927915","0.9664793761927915","0.9664793761927915","37","37","37","1.187096188413581","1.187096188413581","1.187096188413581","37","37","37","0.8899514498028217","0.8899514498028217","0.8899514498028217","1800","1800","1800"
"1900","0.5770759573276625","0.5770759573276625","0.5770759573276625","38","38","38","0.9171219397327032","0.9171219397327032","0.9171219397327032","38","38","38","0.967880539689493","0.967880539689493","0.967880539689493","38","38","38","1.1961171604875922","1.1961171604875922","1.1961171604875922","38","38","38","0.8987991838305268","0.8987991838305268","0.8987991838305268","1850","1850","1850"
"1950","0.5402161735072005","0.5402161735072005","0.5402161735072005","39","39","39","0.919593631775407","0.919593631775407","0.919593631775407","39","39","39","0.9821075087734885","0.9821075087734885","0.9821075087734885","39","39","39","1.1691046693317204","1.1691046693317204","1.1691046693317204","39","39","39","0.8688392524057507","0.8688392524057507","0.8688392524057507","1900","1900","1900"
"2000","0.5436027078002201","0.5436027078002201","0.5436027078002201","40","40","40","0.929566855003665","0.929566855003665","0.929566855003665","40","40","40","0.9859299857954323","0.9859299857954323","0.9859299857954323","40","40","40","1.1977861749462262","1.1977861749462262","1.1977861749462262","40","40","40","0.886298989166618","0.886298989166618","0.886298989166618","1950","1950","1950"
"2050","0.5496757724138993","0.5496757724138993","0.5496757724138993","41","41","41","0.911006544858383","0.911006544858383","0.911006544858383","41","41","41","1.0015520240486695","1.0015520240486695","1.0015520240486695","41","41","41","1.1682823750009177","1.1682823750009177","1.1682823750009177","41","41","41","0.9148160652555314","0.9148160652555314","0.9148160652555314","2000","2000","2000"
"2100","0.5404263112877336","0.5404263112877336","0.5404263112877336","42","42","42","0.8894672343705745","0.8894672343705745","0.8894672343705745","42","42","42","1.0165581838021467","1.0165581838021467","1.0165581838021467","42","42","42","1.160758815253644","1.160758815253644","1.160758815253644","42","42","42","0.94880255794081","0.94880255794081","0.94880255794081","2050","2050","2050"
"2150","0.5268712813012475","0.5268712813012475","0.5268712813012475","43","43","43","0.9334686639165289","0.9334686639165289","0.9334686639165289","43","43","43","1.05138427087934","1.05138427087934","1.05138427087934","43","43","43","1.205629068407997","1.205629068407997","1.205629068407997","43","43","43","0.9487702078806172","0.9487702078806172","0.9487702078806172","2100","2100","2100"
"2200","0.5468558235279236","0.5468558235279236","0.5468558235279236","44","44","44","0.8970684001523849","0.8970684001523849","0.8970684001523849","44","44","44","1.0614125394872578","1.0614125394872578","1.0614125394872578","44","44","44","1.191984823299754","1.191984823299754","1.191984823299754","44","44","44","0.9340241679706647","0.9340241679706647","0.9340241679706647","2150","2150","2150"
"2250","0.5193954624882091","0.5193954624882091","0.5193954624882091","45","45","45","0.8763733791459066","0.8763733791459066","0.8763733791459066","45","45","45","1.0809025314772978","1.0809025314772978","1.0809025314772978","45","45","45","1.1743765826767831","1.1743765826767831","1.1743765826767831","45","45","45","0.9362369926063794","0.9362369926063794","0.9362369926063794","2200","2200","2200"
"2300","0.5332207410208086","0.5332207410208086","0.5332207410208086","46","46","46","0.8961522352090938","0.8961522352090938","0.8961522352090938","46","46","46","1.0270966222302877","1.0270966222302877","1.0270966222302877","46","46","46","1.149348440233839","1.149348440233839","1.149348440233839","46","46","46","0.8974939625796374","0.8974939625796374","0.8974939625796374","2250","2250","2250"
"2350","0.511654635638627","0.511654635638627","0.511654635638627","47","47","47","0.8469349817259063","0.8469349817259063","0.8469349817259063","47","47","47","1.0271582031685538","1.0271582031685538","1.0271582031685538","47","47","47","1.1387401101908812","1.1387401101908812","1.1387401101908812","47","47","47","0.9490268350597783","0.9490268350597783","0.9490268350597783","2300","2300","2300"
"2400","0.5409078375838011","0.5409078375838011","0.5409078375838011","48","48","48","0.8507676440201868","0.8507676440201868","0.8507676440201868","48","48","48","1.03274716970669","1.03274716970669","1.03274716970669","48","48","48","1.1503320206469003","1.1503320206469003","1.1503320206469003","48","48","48","0.9323790289041785","0.9323790289041785","0.9323790289041785","2350","2350","2350"
"2450","0.5038548368235074","0.5038548368235074","0.5038548368235074","49","49","49","0.8602428233363305","0.8602428233363305","0.8602428233363305","49","49","49","1.0214683489095195","1.0214683489095195","1.0214683489095195","49","49","49","1.1569200714514827","1.1569200714514827","1.1569200714514827","49","49","49","0.9244186860248267","0.9244186860248267","0.9244186860248267","2400","2400","2400"
"2500","0.4917566462364654","0.4917566462364654","0.4917566462364654","50","50","50","0.8607625002489657","0.8607625002489657","0.8607625002489657","50","50","50","1.055495866481881","1.055495866481881","1.055495866481881","50","50","50","1.1002031774957417","1.1002031774957417","1.1002031774957417","50","50","50","0.9130163572405727","0.9130163572405727","0.9130163572405727","2450","2450","2450"
"2550","0.5382766713231717","0.5382766713231717","0.5382766713231717","51","51","51","0.858481212122151","0.858481212122151","0.858481212122151","51","51","51","1.1259462323804685","1.1259462323804685","1.1259462323804685","51","51","51","1.1608083676934269","1.1608083676934269","1.1608083676934269","51","51","51","0.9755230361834748","0.9755230361834748","0.9755230361834748","2500","2500","2500"
"2600","0.5170552213554851","0.5170552213554851","0.5170552213554851","52","52","52","0.8728256263929342","0.8728256263929342","0.8728256263929342","52","52","52","1.100839145635553","1.100839145635553","1.100839145635553","52","52","52","1.1223379108399982","1.1223379108399982","1.1223379108399982","52","52","52","1.0044738582842478","1.0044738582842478","1.0044738582842478","2550","2550","2550"
"2650","0.5232424945709756","0.5232424945709756","0.5232424945709756","53","53","53","0.8904029184248526","0.8904029184248526","0.8904029184248526","53","53","53","1.1137346287544876","1.1137346287544876","1.1137346287544876","53","53","53","1.1604805406936967","1.1604805406936967","1.1604805406936967","53","53","53","1.006389512824317","1.006389512824317","1.006389512824317","2600","2600","2600"
"2700","0.5328272254328124","0.5328272254328124","0.5328272254328124","54","54","54","0.8424778046575085","0.8424778046575085","0.8424778046575085","54","54","54","1.1128678695982053","1.1128678695982053","1.1128678695982053","54","54","54","1.1477740189144519","1.1477740189144519","1.1477740189144519","54","54","54","0.981807542288587","0.981807542288587","0.981807542288587","2650","2650","2650"
"2750","0.5018357310352825","0.5018357310352825","0.5018357310352825","55","55","55","0.8168585655551657","0.8168585655551657","0.8168585655551657","55","55","55","1.0813201650796784","1.0813201650796784","1.0813201650796784","55","55","55","1.088420576056496","1.088420576056496","1.088420576056496","55","55","55","1.0055462313341887","1.0055462313341887","1.0055462313341887","2700","2700","2700"
"2800","0.5575688782966793","0.5575688782966793","0.5575688782966793","56","56","56","0.8466269007453812","0.8466269007453812","0.8466269007453812","56","56","56","1.1472185923181926","1.1472185923181926","1.1472185923181926","56","56","56","1.1388146591380008","1.1388146591380008","1.1388146591380008","56","56","56","1.0057350458133452","1.0057350458133452","1.0057350458133452","2750","2750","2750"
