"iter","env1_muon - EMA/dropped_tokens","env1_muon - EMA/dropped_tokens__MIN","env1_muon - EMA/dropped_tokens__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/dropped_tokens","env1_lion - EMA/dropped_tokens__MIN","env1_lion - EMA/dropped_tokens__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/dropped_tokens","env1_adam - EMA/dropped_tokens__MIN","env1_adam - EMA/dropped_tokens__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/dropped_tokens"," env1_sgd - EMA/dropped_tokens__MIN"," env1_sgd - EMA/dropped_tokens__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/dropped_tokens","env1_adamw - EMA/dropped_tokens__MIN","env1_adamw - EMA/dropped_tokens__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"2500","221.78101590949808","221.78101590949808","221.78101590949808","50","50","50","1.301802557466373e-10","1.301802557466373e-10","1.301802557466373e-10","50","50","50","238.88018992781426","238.88018992781426","238.88018992781426","50","50","50","108.07783477716673","108.07783477716673","108.07783477716673","50","50","50","261.9343450819196","261.9343450819196","261.9343450819196","2450","2450","2450"
"2550","266.8430095012486","266.8430095012486","266.8430095012486","51","51","51","6.709197745496118e-13","6.709197745496118e-13","6.709197745496118e-13","51","51","51","555.9311348003699","555.9311348003699","555.9311348003699","51","51","51","252.0570088653354","252.0570088653354","252.0570088653354","51","51","51","117.34995073362883","117.34995073362883","117.34995073362883","2500","2500","2500"
"2600","160.07524888661425","160.07524888661425","160.07524888661425","52","52","52","3.4577697001745937e-15","3.4577697001745937e-15","3.4577697001745937e-15","52","52","52","343.06514409951154","343.06514409951154","343.06514409951154","52","52","52","71.69904516312144","71.69904516312144","71.69904516312144","52","52","52","290.6047952666712","290.6047952666712","290.6047952666712","2550","2550","2550"
"2650","306.72499184901744","306.72499184901744","306.72499184901744","53","53","53","1.7820567753382556e-17","1.7820567753382556e-17","1.7820567753382556e-17","53","53","53","327.6680806341558","327.6680806341558","327.6680806341558","53","53","53","366.56952076135025","366.56952076135025","366.56952076135025","53","53","53","201.9977117889737","201.9977117889737","201.9977117889737","2600","2600","2600"
"2700","297.68079165845694","297.68079165845694","297.68079165845694","54","54","54","9.184320026775146e-20","9.184320026775146e-20","9.184320026775146e-20","54","54","54","328.0887276302025","328.0887276302025","328.0887276302025","54","54","54","280.7892169078591","280.7892169078591","280.7892169078591","54","54","54","240.94105079895343","240.94105079895343","240.94105079895343","2650","2650","2650"
"2750","128.33417988374478","128.33417988374478","128.33417988374478","55","55","55","4.733392085008742e-22","4.733392085008742e-22","4.733392085008742e-22","55","55","55","168.99089555026174","168.99089555026174","168.99089555026174","55","55","55","1.4471245045825554","1.4471245045825554","1.4471245045825554","55","55","55","364.1417560140333","364.1417560140333","364.1417560140333","2700","2700","2700"
"2800","186.0614055145366","186.0614055145366","186.0614055145366","56","56","56","13","13","13","56","56","56","413.1709410877498","413.1709410877498","413.1709410877498","56","56","56","235.10745815439364","235.10745815439364","235.10745815439364","56","56","56","382.2767047540952","382.2767047540952","382.2767047540952","2750","2750","2750"
"2850","212.75891865877998","212.75891865877998","212.75891865877998","57","57","57","0.0669990776951616","0.0669990776951616","0.0669990776951616","57","57","57","285.6293901525632","285.6293901525632","285.6293901525632","57","57","57","169.4116909888922","169.4116909888922","169.4116909888922","57","57","57","225.6701682032977","225.6701682032977","225.6701682032977","2800","2800","2800"
"2900","260.89651164011985","260.89651164011985","260.89651164011985","58","58","58","0.0003452981855386382","0.0003452981855386382","0.0003452981855386382","58","58","58","342.3720696694503","342.3720696694503","342.3720696694503","58","58","58","217.17310977284873","217.17310977284873","217.17310977284873","58","58","58","243.86305331791795","243.86305331791795","243.86305331791795","2850","2850","2850"
"2950","207.34460197336716","207.34460197336716","207.34460197336716","59","59","59","0.000001779589227761656","0.000001779589227761656","0.000001779589227761656","59","59","59","342.7645086843413","342.7645086843413","342.7645086843413","59","59","59","354.91926138884395","354.91926138884395","354.91926138884395","59","59","59","248.5568153581713","248.5568153581713","248.5568153581713","2900","2900","2900"
"3000","229.16860746902202","229.16860746902202","229.16860746902202","60","60","60","9.171602841251974e-9","9.171602841251974e-9","9.171602841251974e-9","60","60","60","255.66653122680663","255.66653122680663","255.66653122680663","60","60","60","267.42917408994623","267.42917408994623","267.42917408994623","60","60","60","104.3810059526034","104.3810059526034","104.3810059526034","2950","2950","2950"
"3050","154.58108348746993","154.58108348746993","154.58108348746993","61","61","61","4.7268379334631177e-11","4.7268379334631177e-11","4.7268379334631177e-11","61","61","61","360.61764782997824","360.61764782997824","360.61764782997824","61","61","61","91.87826984713887","91.87826984713887","91.87826984713887","61","61","61","327.33795624059366","327.33795624059366","327.33795624059366","3000","3000","3000"
"3100","162.7966761555984","162.7966761555984","162.7966761555984","62","62","62","2.436106015050248e-13","2.436106015050248e-13","2.436106015050248e-13","62","62","62","532.1585422927083","532.1585422927083","532.1585422927083","62","62","62","322.77351994922964","322.77351994922964","322.77351994922964","62","62","62","182.28702624328764","182.28702624328764","182.28702624328764","3050","3050","3050"
"3150","208.53901747340487","208.53901747340487","208.53901747340487","63","63","63","1.2555142782769376e-15","1.2555142782769376e-15","1.2555142782769376e-15","63","63","63","483.6426255016318","483.6426255016318","483.6426255016318","63","63","63","173.4635021646938","173.4635021646938","173.4635021646938","63","63","63","310.3394663564688","310.3394663564688","310.3394663564688","3100","3100","3100"
"3200","175.77476321801336","175.77476321801336","175.77476321801336","64","64","64","6.4706383598200956e-18","6.4706383598200956e-18","6.4706383598200956e-18","64","64","64","542.5925853725136","542.5925853725136","542.5925853725136","64","64","64","179.99399189683135","179.99399189683135","179.99399189683135","64","64","64","350.79941984756096","350.79941984756096","350.79941984756096","3150","3150","3150"
"3250","154.5059036167456","154.5059036167456","154.5059036167456","65","65","65","3.334821555437532e-20","3.334821555437532e-20","3.334821555437532e-20","65","65","65","460.5964002141686","460.5964002141686","460.5964002141686","65","65","65","47.32764857290447","47.32764857290447","47.32764857290447","65","65","65","246.70794135275264","246.70794135275264","246.70794135275264","3200","3200","3200"
"3300","96.39628869544458","96.39628869544458","96.39628869544458","66","66","66","1.7186920653250668e-22","1.7186920653250668e-22","1.7186920653250668e-22","66","66","66","433.1738103080047","433.1738103080047","433.1738103080047","66","66","66","39.0439160618358","39.0439160618358","39.0439160618358","66","66","66","301.17147727159283","301.17147727159283","301.17147727159283","3250","3250","3250"
"3350","16.296804802756256","16.296804802756256","16.296804802756256","67","67","67","8.857752555290143e-25","8.857752555290143e-25","8.857752555290143e-25","67","67","67","238.4324804440258","238.4324804440258","238.4324804440258","67","67","67","45.50122356659618","45.50122356659618","45.50122356659618","67","67","67","305.15217009271436","305.15217009271436","305.15217009271436","3300","3300","3300"
"3400","96.78399006855098","96.78399006855098","96.78399006855098","68","68","68","4.5650865512030775e-27","4.5650865512030775e-27","4.5650865512030775e-27","68","68","68","349.22882740633224","349.22882740633224","349.22882740633224","68","68","68","108.23450307792025","108.23450307792025","108.23450307792025","68","68","68","245.1726856886838","245.1726856886838","245.1726856886838","3350","3350","3350"
"3450","152.39880292848082","152.39880292848082","152.39880292848082","69","69","69","2.3527429886860932e-29","2.3527429886860932e-29","2.3527429886860932e-29","69","69","69","385.2998468723682","385.2998468723682","385.2998468723682","69","69","69","43.6578162985396","43.6578162985396","43.6578162985396","69","69","69","298.9635649090144","298.9635649090144","298.9635649090144","3400","3400","3400"
"3500","108.18542917215808","108.18542917215808","108.18542917215808","70","70","70","1.2125508484286626e-31","1.2125508484286626e-31","1.2125508484286626e-31","70","70","70","492.5857487981951","492.5857487981951","492.5857487981951","70","70","70","65.22500257124516","65.22500257124516","65.22500257124516","70","70","70","214.0407910087201","214.0407910087201","214.0407910087201","3450","3450","3450"
"3550","0.5575633826607556","0.5575633826607556","0.5575633826607556","71","71","71","6.249214500246616e-34","6.249214500246616e-34","6.249214500246616e-34","71","71","71","385.3386762196354","385.3386762196354","385.3386762196354","71","71","71","115.63615500114909","115.63615500114909","115.63615500114909","71","71","71","335.70311812205597","335.70311812205597","335.70311812205597","3500","3500","3500"
"3600","21.802873556338067","21.802873556338067","21.802873556338067","72","72","72","29.3","29.3","29.3","72","72","72","354.08594891592236","354.08594891592236","354.08594891592236","72","72","72","26.99596274871475","26.99596274871475","26.99596274871475","72","72","72","291.0301384071975","291.0301384071975","291.0301384071975","3550","3550","3550"
"3650","28.812367109182993","28.812367109182993","28.812367109182993","73","73","73","0.15100561357447945","0.15100561357447945","0.15100561357447945","73","73","73","435.6248793847833","435.6248793847833","435.6248793847833","73","73","73","82.53913112351206","82.53913112351206","82.53913112351206","73","73","73","404.899903911906","404.899903911906","404.899903911906","3600","3600","3600"
