"iter","env1_muon - train/loss_instant","env1_muon - train/loss_instant__MIN","env1_muon - train/loss_instant__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - train/loss_instant","env1_lion - train/loss_instant__MIN","env1_lion - train/loss_instant__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - train/loss_instant","env1_adam - train/loss_instant__MIN","env1_adam - train/loss_instant__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - train/loss_instant"," env1_sgd - train/loss_instant__MIN"," env1_sgd - train/loss_instant__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - train/loss_instant","env1_adamw - train/loss_instant__MIN","env1_adamw - train/loss_instant__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"950","5.796309947967529","5.796309947967529","5.796309947967529","19","19","19","5.967362403869629","5.967362403869629","5.967362403869629","19","19","19","5.359322547912598","5.359322547912598","5.359322547912598","19","19","19","7.270498275756836","7.270498275756836","7.270498275756836","19","19","19","5.263972282409668","5.263972282409668","5.263972282409668","900","900","900"
"1000","5.622547626495361","5.622547626495361","5.622547626495361","20","20","20","5.766476154327393","5.766476154327393","5.766476154327393","20","20","20","5.11901330947876","5.11901330947876","5.11901330947876","20","20","20","7.166779518127441","7.166779518127441","7.166779518127441","20","20","20","5.066523551940918","5.066523551940918","5.066523551940918","951","951","951"
"1050","5.734201908111572","5.734201908111572","5.734201908111572","21","21","21","5.832213878631592","5.832213878631592","5.832213878631592","21","21","21","5.16579532623291","5.16579532623291","5.16579532623291","21","21","21","7.278672695159912","7.278672695159912","7.278672695159912","21","21","21","5.04217529296875","5.04217529296875","5.04217529296875","1000","1000","1000"
"1100","5.430202960968018","5.430202960968018","5.430202960968018","22","22","22","5.553313255310059","5.553313255310059","5.553313255310059","22","22","22","4.9773454666137695","4.9773454666137695","4.9773454666137695","22","22","22","6.917105674743652","6.917105674743652","6.917105674743652","22","22","22","5.130157947540283","5.130157947540283","5.130157947540283","1050","1050","1050"
"1150","5.674006938934326","5.674006938934326","5.674006938934326","23","23","23","5.7353668212890625","5.7353668212890625","5.7353668212890625","23","23","23","5.12332820892334","5.12332820892334","5.12332820892334","23","23","23","7.305487632751465","7.305487632751465","7.305487632751465","23","23","23","4.997056007385254","4.997056007385254","4.997056007385254","1100","1100","1100"
"1200","5.439646244049072","5.439646244049072","5.439646244049072","24","24","24","5.520060062408447","5.520060062408447","5.520060062408447","24","24","24","4.977631568908691","4.977631568908691","4.977631568908691","24","24","24","7.038818359375","7.038818359375","7.038818359375","24","24","24","5.155848979949951","5.155848979949951","5.155848979949951","1150","1150","1150"
"1250","5.350406169891357","5.350406169891357","5.350406169891357","25","25","25","5.452436923980713","5.452436923980713","5.452436923980713","25","25","25","4.925872802734375","4.925872802734375","4.925872802734375","25","25","25","6.946930885314941","6.946930885314941","6.946930885314941","25","25","25","4.895537376403809","4.895537376403809","4.895537376403809","1201","1201","1201"
"1300","5.407202243804932","5.407202243804932","5.407202243804932","26","26","26","5.501198768615723","5.501198768615723","5.501198768615723","26","26","26","4.977529525756836","4.977529525756836","4.977529525756836","26","26","26","7.017543315887451","7.017543315887451","7.017543315887451","26","26","26","4.934052467346191","4.934052467346191","4.934052467346191","1250","1250","1250"
"1350","5.286919593811035","5.286919593811035","5.286919593811035","27","27","27","5.359762191772461","5.359762191772461","5.359762191772461","27","27","27","4.914337158203125","4.914337158203125","4.914337158203125","27","27","27","6.914939880371094","6.914939880371094","6.914939880371094","27","27","27","4.837924480438232","4.837924480438232","4.837924480438232","1300","1300","1300"
"1400","5.339890480041504","5.339890480041504","5.339890480041504","28","28","28","5.453283786773682","5.453283786773682","5.453283786773682","28","28","28","4.992453575134277","4.992453575134277","4.992453575134277","28","28","28","7.016373634338379","7.016373634338379","7.016373634338379","28","28","28","4.841337203979492","4.841337203979492","4.841337203979492","1350","1350","1350"
"1450","5.399153709411621","5.399153709411621","5.399153709411621","29","29","29","5.487051486968994","5.487051486968994","5.487051486968994","29","29","29","5.042784690856934","5.042784690856934","5.042784690856934","29","29","29","7.057591438293457","7.057591438293457","7.057591438293457","29","29","29","4.886783599853516","4.886783599853516","4.886783599853516","1400","1400","1400"
"1500","5.0628557205200195","5.0628557205200195","5.0628557205200195","30","30","30","5.200326919555664","5.200326919555664","5.200326919555664","30","30","30","4.774072647094727","4.774072647094727","4.774072647094727","30","30","30","6.835165977478027","6.835165977478027","6.835165977478027","30","30","30","4.866015434265137","4.866015434265137","4.866015434265137","1451","1451","1451"
"1550","5.170620918273926","5.170620918273926","5.170620918273926","31","31","31","5.3300652503967285","5.3300652503967285","5.3300652503967285","31","31","31","4.919896125793457","4.919896125793457","4.919896125793457","31","31","31","6.999532699584961","6.999532699584961","6.999532699584961","31","31","31","4.832759380340576","4.832759380340576","4.832759380340576","1500","1500","1500"
"1600","5.042669296264648","5.042669296264648","5.042669296264648","32","32","32","5.177150726318359","5.177150726318359","5.177150726318359","32","32","32","4.752614974975586","4.752614974975586","4.752614974975586","32","32","32","6.863341331481934","6.863341331481934","6.863341331481934","32","32","32","4.810627460479736","4.810627460479736","4.810627460479736","1550","1550","1550"
"1650","5.0971455574035645","5.0971455574035645","5.0971455574035645","33","33","33","5.303060054779053","5.303060054779053","5.303060054779053","33","33","33","4.934869289398193","4.934869289398193","4.934869289398193","33","33","33","7.131036281585693","7.131036281585693","7.131036281585693","33","33","33","4.710470199584961","4.710470199584961","4.710470199584961","1600","1600","1600"
"1700","4.907047271728516","4.907047271728516","4.907047271728516","34","34","34","5.102643013000488","5.102643013000488","5.102643013000488","34","34","34","4.692068099975586","4.692068099975586","4.692068099975586","34","34","34","6.886994361877441","6.886994361877441","6.886994361877441","34","34","34","4.758322715759277","4.758322715759277","4.758322715759277","1650","1650","1650"
"1750","4.9802117347717285","4.9802117347717285","4.9802117347717285","35","35","35","5.141217231750488","5.141217231750488","5.141217231750488","35","35","35","4.806123733520508","4.806123733520508","4.806123733520508","35","35","35","6.85759973526001","6.85759973526001","6.85759973526001","35","35","35","4.69702672958374","4.69702672958374","4.69702672958374","1701","1701","1701"
"1800","4.798463821411133","4.798463821411133","4.798463821411133","36","36","36","5.006994247436523","5.006994247436523","5.006994247436523","36","36","36","4.675227165222168","4.675227165222168","4.675227165222168","36","36","36","6.826937675476074","6.826937675476074","6.826937675476074","36","36","36","4.818393707275391","4.818393707275391","4.818393707275391","1750","1750","1750"
"1850","4.964166164398193","4.964166164398193","4.964166164398193","37","37","37","5.093067646026611","5.093067646026611","5.093067646026611","37","37","37","4.777644157409668","4.777644157409668","4.777644157409668","37","37","37","6.8836822509765625","6.8836822509765625","6.8836822509765625","37","37","37","4.689926624298096","4.689926624298096","4.689926624298096","1800","1800","1800"
"1900","4.967263221740723","4.967263221740723","4.967263221740723","38","38","38","5.172801494598389","5.172801494598389","5.172801494598389","38","38","38","4.870236396789551","4.870236396789551","4.870236396789551","38","38","38","6.973166465759277","6.973166465759277","6.973166465759277","38","38","38","4.644623756408691","4.644623756408691","4.644623756408691","1850","1850","1850"
"1950","4.734691619873047","4.734691619873047","4.734691619873047","39","39","39","4.886923313140869","4.886923313140869","4.886923313140869","39","39","39","4.576842308044434","4.576842308044434","4.576842308044434","39","39","39","6.7819390296936035","6.7819390296936035","6.7819390296936035","39","39","39","4.690359592437744","4.690359592437744","4.690359592437744","1900","1900","1900"
"2000","4.592382431030273","4.592382431030273","4.592382431030273","40","40","40","4.7347612380981445","4.7347612380981445","4.7347612380981445","40","40","40","4.453150272369385","4.453150272369385","4.453150272369385","40","40","40","6.575804233551025","6.575804233551025","6.575804233551025","40","40","40","4.473372459411621","4.473372459411621","4.473372459411621","1951","1951","1951"
"2050","4.790931701660156","4.790931701660156","4.790931701660156","41","41","41","4.892045021057129","4.892045021057129","4.892045021057129","41","41","41","4.647289752960205","4.647289752960205","4.647289752960205","41","41","41","6.833273410797119","6.833273410797119","6.833273410797119","41","41","41","4.751659393310547","4.751659393310547","4.751659393310547","2000","2000","2000"
"2100","4.713569164276123","4.713569164276123","4.713569164276123","42","42","42","4.836012363433838","4.836012363433838","4.836012363433838","42","42","42","4.59684944152832","4.59684944152832","4.59684944152832","42","42","42","6.740151405334473","6.740151405334473","6.740151405334473","42","42","42","4.657014846801758","4.657014846801758","4.657014846801758","2050","2050","2050"
"2150","4.77482271194458","4.77482271194458","4.77482271194458","43","43","43","4.871984481811523","4.871984481811523","4.871984481811523","43","43","43","4.671540260314941","4.671540260314941","4.671540260314941","43","43","43","6.6743364334106445","6.6743364334106445","6.6743364334106445","43","43","43","4.617888450622559","4.617888450622559","4.617888450622559","2100","2100","2100"
"2200","4.735313415527344","4.735313415527344","4.735313415527344","44","44","44","4.928971290588379","4.928971290588379","4.928971290588379","44","44","44","4.674631595611572","4.674631595611572","4.674631595611572","44","44","44","6.916181564331055","6.916181564331055","6.916181564331055","44","44","44","4.478944778442383","4.478944778442383","4.478944778442383","2150","2150","2150"
"2250","4.723882675170898","4.723882675170898","4.723882675170898","45","45","45","4.819304466247559","4.819304466247559","4.819304466247559","45","45","45","4.637566089630127","4.637566089630127","4.637566089630127","45","45","45","6.714412689208984","6.714412689208984","6.714412689208984","45","45","45","4.531554698944092","4.531554698944092","4.531554698944092","2201","2201","2201"
"2300","4.657556056976318","4.657556056976318","4.657556056976318","46","46","46","4.8142852783203125","4.8142852783203125","4.8142852783203125","46","46","46","4.615090370178223","4.615090370178223","4.615090370178223","46","46","46","6.730201721191406","6.730201721191406","6.730201721191406","46","46","46","4.8023576736450195","4.8023576736450195","4.8023576736450195","2250","2250","2250"
"2350","4.689571380615234","4.689571380615234","4.689571380615234","47","47","47","4.784223556518555","4.784223556518555","4.784223556518555","47","47","47","4.611665725708008","4.611665725708008","4.611665725708008","47","47","47","6.716888427734375","6.716888427734375","6.716888427734375","47","47","47","4.53272008895874","4.53272008895874","4.53272008895874","2300","2300","2300"
"2400","4.576198101043701","4.576198101043701","4.576198101043701","48","48","48","4.707871437072754","4.707871437072754","4.707871437072754","48","48","48","4.542950630187988","4.542950630187988","4.542950630187988","48","48","48","6.845841407775879","6.845841407775879","6.845841407775879","48","48","48","4.599451065063477","4.599451065063477","4.599451065063477","2350","2350","2350"
