"iter","env1_muon - global_router/kl_divergence_from_uni","env1_muon - global_router/kl_divergence_from_uni__MIN","env1_muon - global_router/kl_divergence_from_uni__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - global_router/kl_divergence_from_uni","env1_lion - global_router/kl_divergence_from_uni__MIN","env1_lion - global_router/kl_divergence_from_uni__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - global_router/kl_divergence_from_uni","env1_adam - global_router/kl_divergence_from_uni__MIN","env1_adam - global_router/kl_divergence_from_uni__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - global_router/kl_divergence_from_uni"," env1_sgd - global_router/kl_divergence_from_uni__MIN"," env1_sgd - global_router/kl_divergence_from_uni__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - global_router/kl_divergence_from_uni","env1_adamw - global_router/kl_divergence_from_uni__MIN","env1_adamw - global_router/kl_divergence_from_uni__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"500","0.04108998738229275","0.04108998738229275","0.04108998738229275","10","10","10","0.06741411238908768","0.06741411238908768","0.06741411238908768","10","10","10","0.0557033633813262","0.0557033633813262","0.0557033633813262","10","10","10","0.1450948417186737","0.1450948417186737","0.1450948417186737","10","10","10","0.04828223865479231","0.04828223865479231","0.04828223865479231","451","451","451"
"550","0.04026001878082752","0.04026001878082752","0.04026001878082752","11","11","11","0.049503971822559834","0.049503971822559834","0.049503971822559834","11","11","11","0.042970807291567326","0.042970807291567326","0.042970807291567326","11","11","11","0.1376337967813015","0.1376337967813015","0.1376337967813015","11","11","11","0.04593458119779825","0.04593458119779825","0.04593458119779825","500","500","500"
"600","0.04186738561838865","0.04186738561838865","0.04186738561838865","12","12","12","0.03799339849501848","0.03799339849501848","0.03799339849501848","12","12","12","0.049203041940927505","0.049203041940927505","0.049203041940927505","12","12","12","0.1310640648007393","0.1310640648007393","0.1310640648007393","12","12","12","0.05538975354284048","0.05538975354284048","0.05538975354284048","550","550","550"
"650","0.03784587234258652","0.03784587234258652","0.03784587234258652","13","13","13","0.037976367864757776","0.037976367864757776","0.037976367864757776","13","13","13","0.04925837833434343","0.04925837833434343","0.04925837833434343","13","13","13","0.13592862337827682","0.13592862337827682","0.13592862337827682","13","13","13","0.05380760878324509","0.05380760878324509","0.05380760878324509","600","600","600"
"700","0.04442244581878185","0.04442244581878185","0.04442244581878185","14","14","14","0.03977057430893183","0.03977057430893183","0.03977057430893183","14","14","14","0.043136618100106716","0.043136618100106716","0.043136618100106716","14","14","14","0.12887706607580185","0.12887706607580185","0.12887706607580185","14","14","14","0.04545068461447954","0.04545068461447954","0.04545068461447954","650","650","650"
"750","0.03983877692371607","0.03983877692371607","0.03983877692371607","15","15","15","0.026983055169694126","0.026983055169694126","0.026983055169694126","15","15","15","0.05216176249086857","0.05216176249086857","0.05216176249086857","15","15","15","0.13027101755142212","0.13027101755142212","0.13027101755142212","15","15","15","0.058437880128622055","0.058437880128622055","0.058437880128622055","701","701","701"
"800","0.03696180693805218","0.03696180693805218","0.03696180693805218","16","16","16","0.031728871166706085","0.031728871166706085","0.031728871166706085","16","16","16","0.049040116369724274","0.049040116369724274","0.049040116369724274","16","16","16","0.1349116638302803","0.1349116638302803","0.1349116638302803","16","16","16","0.05255342647433281","0.05255342647433281","0.05255342647433281","750","750","750"
"850","0.03398985415697098","0.03398985415697098","0.03398985415697098","17","17","17","0.032413334120064974","0.032413334120064974","0.032413334120064974","17","17","17","0.0558883473277092","0.0558883473277092","0.0558883473277092","17","17","17","0.1255929097533226","0.1255929097533226","0.1255929097533226","17","17","17","0.0617073941975832","0.0617073941975832","0.0617073941975832","800","800","800"
"900","0.04275990277528763","0.04275990277528763","0.04275990277528763","18","18","18","0.037316401489079","0.037316401489079","0.037316401489079","18","18","18","0.06615188717842102","0.06615188717842102","0.06615188717842102","18","18","18","0.13469301164150238","0.13469301164150238","0.13469301164150238","18","18","18","0.055739328265190125","0.055739328265190125","0.055739328265190125","850","850","850"
"950","0.03954954817891121","0.03954954817891121","0.03954954817891121","19","19","19","0.033963378285989165","0.033963378285989165","0.033963378285989165","19","19","19","0.062156811356544495","0.062156811356544495","0.062156811356544495","19","19","19","0.12760356813669205","0.12760356813669205","0.12760356813669205","19","19","19","0.05956340581178665","0.05956340581178665","0.05956340581178665","900","900","900"
"1000","0.04394855722784996","0.04394855722784996","0.04394855722784996","20","20","20","0.03353279177099466","0.03353279177099466","0.03353279177099466","20","20","20","0.0675627700984478","0.0675627700984478","0.0675627700984478","20","20","20","0.1258583627641201","0.1258583627641201","0.1258583627641201","20","20","20","0.06733029335737228","0.06733029335737228","0.06733029335737228","951","951","951"
"1050","0.05850360915064812","0.05850360915064812","0.05850360915064812","21","21","21","0.03799904137849808","0.03799904137849808","0.03799904137849808","21","21","21","0.06705338694155216","0.06705338694155216","0.06705338694155216","21","21","21","0.12257565930485725","0.12257565930485725","0.12257565930485725","21","21","21","0.06411921232938766","0.06411921232938766","0.06411921232938766","1000","1000","1000"
"1100","0.07646086066961288","0.07646086066961288","0.07646086066961288","22","22","22","0.04508688044734299","0.04508688044734299","0.04508688044734299","22","22","22","0.06656429544091225","0.06656429544091225","0.06656429544091225","22","22","22","0.12815359234809875","0.12815359234809875","0.12815359234809875","22","22","22","0.053533975034952164","0.053533975034952164","0.053533975034952164","1050","1050","1050"
"1150","0.07057969644665718","0.07057969644665718","0.07057969644665718","23","23","23","0.03241097554564476","0.03241097554564476","0.03241097554564476","23","23","23","0.05385281518101692","0.05385281518101692","0.05385281518101692","23","23","23","0.11285857111215591","0.11285857111215591","0.11285857111215591","23","23","23","0.05811852216720581","0.05811852216720581","0.05811852216720581","1100","1100","1100"
"1200","0.07553374394774437","0.07553374394774437","0.07553374394774437","24","24","24","0.036185582634061575","0.036185582634061575","0.036185582634061575","24","24","24","0.06377077475190163","0.06377077475190163","0.06377077475190163","24","24","24","0.1156560592353344","0.1156560592353344","0.1156560592353344","24","24","24","0.06118614226579666","0.06118614226579666","0.06118614226579666","1150","1150","1150"
"1250","0.0665317066013813","0.0665317066013813","0.0665317066013813","25","25","25","0.04049254395067692","0.04049254395067692","0.04049254395067692","25","25","25","0.052714159712195396","0.052714159712195396","0.052714159712195396","25","25","25","0.12002051621675491","0.12002051621675491","0.12002051621675491","25","25","25","0.05246814712882042","0.05246814712882042","0.05246814712882042","1201","1201","1201"
"1300","0.06688686646521091","0.06688686646521091","0.06688686646521091","26","26","26","0.03364279097877443","0.03364279097877443","0.03364279097877443","26","26","26","0.0606440044939518","0.0606440044939518","0.0606440044939518","26","26","26","0.11681951209902763","0.11681951209902763","0.11681951209902763","26","26","26","0.04824855178594589","0.04824855178594589","0.04824855178594589","1250","1250","1250"
"1350","0.0664210356771946","0.0664210356771946","0.0664210356771946","27","27","27","0.0338001623749733","0.0338001623749733","0.0338001623749733","27","27","27","0.060830287635326385","0.060830287635326385","0.060830287635326385","27","27","27","0.11394637078046799","0.11394637078046799","0.11394637078046799","27","27","27","0.048333410173654556","0.048333410173654556","0.048333410173654556","1300","1300","1300"
"1400","0.0654151551425457","0.0654151551425457","0.0654151551425457","28","28","28","0.02421562047675252","0.02421562047675252","0.02421562047675252","28","28","28","0.0545366033911705","0.0545366033911705","0.0545366033911705","28","28","28","0.1099967397749424","0.1099967397749424","0.1099967397749424","28","28","28","0.04505939595401287","0.04505939595401287","0.04505939595401287","1350","1350","1350"
"1450","0.07215584255754948","0.07215584255754948","0.07215584255754948","29","29","29","0.025932061951607466","0.025932061951607466","0.025932061951607466","29","29","29","0.053874533623456955","0.053874533623456955","0.053874533623456955","29","29","29","0.1161879301071167","0.1161879301071167","0.1161879301071167","29","29","29","0.050259366631507874","0.050259366631507874","0.050259366631507874","1400","1400","1400"
"1500","0.06354601867496967","0.06354601867496967","0.06354601867496967","30","30","30","0.028204115107655525","0.028204115107655525","0.028204115107655525","30","30","30","0.04917687177658081","0.04917687177658081","0.04917687177658081","30","30","30","0.11008041352033615","0.11008041352033615","0.11008041352033615","30","30","30","0.04382547829300165","0.04382547829300165","0.04382547829300165","1451","1451","1451"
"1550","0.06677662394940853","0.06677662394940853","0.06677662394940853","31","31","31","0.028490290977060795","0.028490290977060795","0.028490290977060795","31","31","31","0.05357750132679939","0.05357750132679939","0.05357750132679939","31","31","31","0.11552596464753151","0.11552596464753151","0.11552596464753151","31","31","31","0.03622577339410782","0.03622577339410782","0.03622577339410782","1500","1500","1500"
"1600","0.07259724847972393","0.07259724847972393","0.07259724847972393","32","32","32","0.029562738724052906","0.029562738724052906","0.029562738724052906","32","32","32","0.04084724560379982","0.04084724560379982","0.04084724560379982","32","32","32","0.11219657585024834","0.11219657585024834","0.11219657585024834","32","32","32","0.04469641484320164","0.04469641484320164","0.04469641484320164","1550","1550","1550"
"1650","0.05558188632130623","0.05558188632130623","0.05558188632130623","33","33","33","0.024994913022965193","0.024994913022965193","0.024994913022965193","33","33","33","0.04172991495579481","0.04172991495579481","0.04172991495579481","33","33","33","0.10122277215123177","0.10122277215123177","0.10122277215123177","33","33","33","0.03914069291204214","0.03914069291204214","0.03914069291204214","1600","1600","1600"
"1700","0.07235514745116234","0.07235514745116234","0.07235514745116234","34","34","34","0.02527727000415325","0.02527727000415325","0.02527727000415325","34","34","34","0.040848350152373314","0.040848350152373314","0.040848350152373314","34","34","34","0.10738008841872215","0.10738008841872215","0.10738008841872215","34","34","34","0.038847639225423336","0.038847639225423336","0.038847639225423336","1650","1650","1650"
"1750","0.06556646153330803","0.06556646153330803","0.06556646153330803","35","35","35","0.026762412395328283","0.026762412395328283","0.026762412395328283","35","35","35","0.03937090095132589","0.03937090095132589","0.03937090095132589","35","35","35","0.1101495735347271","0.1101495735347271","0.1101495735347271","35","35","35","0.04758605547249317","0.04758605547249317","0.04758605547249317","1701","1701","1701"
"1800","0.05318477936089039","0.05318477936089039","0.05318477936089039","36","36","36","0.026976585388183594","0.026976585388183594","0.026976585388183594","36","36","36","0.04315916448831558","0.04315916448831558","0.04315916448831558","36","36","36","0.10082805901765823","0.10082805901765823","0.10082805901765823","36","36","36","0.03229927271604538","0.03229927271604538","0.03229927271604538","1750","1750","1750"
"1850","0.06259794160723686","0.06259794160723686","0.06259794160723686","37","37","37","0.027850863058120012","0.027850863058120012","0.027850863058120012","37","37","37","0.04286836087703705","0.04286836087703705","0.04286836087703705","37","37","37","0.10225411877036095","0.10225411877036095","0.10225411877036095","37","37","37","0.03960071783512831","0.03960071783512831","0.03960071783512831","1800","1800","1800"
"1900","0.06170538440346718","0.06170538440346718","0.06170538440346718","38","38","38","0.027064310386776924","0.027064310386776924","0.027064310386776924","38","38","38","0.046009267680346966","0.046009267680346966","0.046009267680346966","38","38","38","0.10227397456765175","0.10227397456765175","0.10227397456765175","38","38","38","0.03421570733189583","0.03421570733189583","0.03421570733189583","1850","1850","1850"
"1950","0.0650387778878212","0.0650387778878212","0.0650387778878212","39","39","39","0.025441884994506836","0.025441884994506836","0.025441884994506836","39","39","39","0.03938325121998787","0.03938325121998787","0.03938325121998787","39","39","39","0.10222021490335464","0.10222021490335464","0.10222021490335464","39","39","39","0.03215821459889412","0.03215821459889412","0.03215821459889412","1900","1900","1900"
"2000","0.0561127420514822","0.0561127420514822","0.0561127420514822","40","40","40","0.035223035141825676","0.035223035141825676","0.035223035141825676","40","40","40","0.03786090761423111","0.03786090761423111","0.03786090761423111","40","40","40","0.09717295318841934","0.09717295318841934","0.09717295318841934","40","40","40","0.02792306710034609","0.02792306710034609","0.02792306710034609","1951","1951","1951"
"2050","0.06053014658391476","0.06053014658391476","0.06053014658391476","41","41","41","0.02560139913111925","0.02560139913111925","0.02560139913111925","41","41","41","0.04126237565651536","0.04126237565651536","0.04126237565651536","41","41","41","0.09541292488574982","0.09541292488574982","0.09541292488574982","41","41","41","0.03426567278802395","0.03426567278802395","0.03426567278802395","2000","2000","2000"
"2100","0.06288854777812958","0.06288854777812958","0.06288854777812958","42","42","42","0.02470412850379944","0.02470412850379944","0.02470412850379944","42","42","42","0.03877174574881792","0.03877174574881792","0.03877174574881792","42","42","42","0.10199691727757454","0.10199691727757454","0.10199691727757454","42","42","42","0.029742819257080555","0.029742819257080555","0.029742819257080555","2050","2050","2050"
"2150","0.07103072851896286","0.07103072851896286","0.07103072851896286","43","43","43","0.02928565815091133","0.02928565815091133","0.02928565815091133","43","43","43","0.03899008594453335","0.03899008594453335","0.03899008594453335","43","43","43","0.09719511866569519","0.09719511866569519","0.09719511866569519","43","43","43","0.03150086849927902","0.03150086849927902","0.03150086849927902","2100","2100","2100"
"2200","0.06313660740852356","0.06313660740852356","0.06313660740852356","44","44","44","0.02484712190926075","0.02484712190926075","0.02484712190926075","44","44","44","0.031165605410933495","0.031165605410933495","0.031165605410933495","44","44","44","0.09819239005446434","0.09819239005446434","0.09819239005446434","44","44","44","0.027347146067768335","0.027347146067768335","0.027347146067768335","2150","2150","2150"
"2250","0.06475862301886082","0.06475862301886082","0.06475862301886082","45","45","45","0.026251325383782387","0.026251325383782387","0.026251325383782387","45","45","45","0.045453003607690334","0.045453003607690334","0.045453003607690334","45","45","45","0.09938915446400642","0.09938915446400642","0.09938915446400642","45","45","45","0.02371456613764167","0.02371456613764167","0.02371456613764167","2201","2201","2201"
"2300","0.06757963448762894","0.06757963448762894","0.06757963448762894","46","46","46","0.03196234256029129","0.03196234256029129","0.03196234256029129","46","46","46","0.0373738557100296","0.0373738557100296","0.0373738557100296","46","46","46","0.09624264016747475","0.09624264016747475","0.09624264016747475","46","46","46","0.03018166683614254","0.03018166683614254","0.03018166683614254","2250","2250","2250"
"2350","0.05724204704165459","0.05724204704165459","0.05724204704165459","47","47","47","0.021714061498641968","0.021714061498641968","0.021714061498641968","47","47","47","0.03397797141224146","0.03397797141224146","0.03397797141224146","47","47","47","0.09075114876031876","0.09075114876031876","0.09075114876031876","47","47","47","0.031551658641546965","0.031551658641546965","0.031551658641546965","2300","2300","2300"
